rating,reviews_count,cuisine_type,price,is_sponsored
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"4,8",3316,"Французская, Стейк-хаус",$$$$,False
"4,3",518,"Китайская, Японская",$,False
"4,7",3995,"Итальянская, Пицца",$$ - $$$,False
"4,8",2445,Французская,$$ - $$$,False
"4,1",4126,"Американская, Бар",$$ - $$$,False
N/A,0,"Азиатская, Тайская",,True
"4,7",921,"Мексиканская, Латиноамериканская",$,False
"4,7",1923,"Итальянская, Пицца",$$ - $$$,False
"4,5",461,Американская,$$$$,False
"4,8",520,"Бары и клубы, Французская",$$ - $$$,False
"4,0",1974,"Китайская, Азиатская",$$ - $$$,False
"4,6",346,"Итальянская, Пицца",$$ - $$$,False
"4,8",1001,Французская,$$ - $$$,False
"4,5",1266,"Американская, Бар",$$ - $$$,False
"4,4",2537,"Американская, Закусочная",$,False
"4,2",18638,"Гастроном, Израильская",$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,2",4456,"Американская, Барбекю",$$ - $$$,False
"4,5",1003,"Американская, Здоровая",$$ - $$$,False
"4,5",1258,"Американская, Бар",$$ - $$$,False
"4,7",3442,Французская,$$$$,False
"3,8",5746,"Американская, Стейк-хаус",$$$$,False
"4,5",2368,"Морепродукты, Здоровая",$$ - $$$,False
"4,3",1085,"Американская, Средиземноморская",$$ - $$$,False
"4,4",612,"Американская, Морепродукты",$$ - $$$,False
"4,2",1353,"Американская, Бар",$$ - $$$,False
"4,5",2179,"Мексиканская, Латиноамериканская",$$ - $$$,False
"4,5",1281,"Итальянская, Американская",$$ - $$$,False
"4,4",432,"Итальянская, Мексиканская",$,False
"4,4",1087,"Американская, Бар",$$ - $$$,False
"4,8",1767,"Итальянская, Пицца",$$ - $$$,False
"4,5",255,Итальянская,$$ - $$$,False
"4,5",130,"Бары и клубы, Ирландская",$,True
N/A,0,"Азиатская, Тайская",,True
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,3",461,"Китайская, Азиатская",$,False
"4,3",1783,"Американская, Бар",$$ - $$$,False
"4,8",1860,"Французская, Стейк-хаус",$$$$,False
"4,9",199,"Бар, Паб",$$ - $$$,False
"4,2",2075,"Американская, Бар",$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,8",1244,"Итальянская, Сицилийская",$$ - $$$,False
"4,1",1208,"Китайская, Азиатская",$,False
"4,5",722,"Американская, Кафе",$$ - $$$,False
"4,5",511,"Стейк-хаус, Латиноамериканская",$$ - $$$,False
"4,4",1499,"Японская, Азиатская",$$ - $$$,False
"4,6",2003,"Итальянская, Пицца",$,False
"4,3",261,"Бары и клубы, Американская",$$$$,False
"4,8",194,Итальянская,$$ - $$$,False
"4,6",3856,Американская,$$$$,False
"4,2",3956,Американская,$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,7",3550,"Итальянская, Сицилийская",$$ - $$$,False
"4,3",465,"Китайская, Азиатская",$$ - $$$,False
"4,6",2198,"Американская, Современная",$$$$,False
"4,4",206,"Американская, Бар",$$ - $$$,False
"4,5",7011,"Американская, Стейк-хаус",$$$$,False
"4,4",2638,Американская,$,False
"4,3",757,Итальянская,$$ - $$$,False
"4,3",6666,"Французская, Европейская",$$$$,False
"4,4",6803,"Итальянская, Стейк-хаус",$$ - $$$,False
"4,5",1231,"Американская, Гастроном",$$ - $$$,False
"4,5",1180,"Ирландская, Бар",$$ - $$$,False
"4,4",5513,"Азиатская, Современная",$$$$,False
"4,3",2551,"Стейк-хаус, Морепродукты",$,False
"4,7",3213,"Индийская, Фьюжн",$$ - $$$,False
"4,4",1444,"Ирландская, Бар",$$ - $$$,False
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,5",130,"Бары и клубы, Ирландская",$,False
"5,0",126,"Итальянская, Американская",$$ - $$$,False
"4,4",4474,"Американская, Современная",$$ - $$$,False
"4,2",15153,"Американская, Морепродукты",$$ - $$$,False
"4,0",1036,"Китайская, Азиатская",$,False
"5,0",27,"Японская, Суши",$$ - $$$,True
"4,4",13419,"Итальянская, Пицца",$$ - $$$,False
"4,2",2518,"Стейк-хаус, Морепродукты",$$ - $$$,False
"4,3",1709,"Латиноамериканская, Испанская",$$ - $$$,False
"4,4",499,"Барбекю, Азиатская",$$ - $$$,False
"4,4",1963,"Итальянская, Пицца",$$ - $$$,False
"4,9",203,"Американская, Стейк-хаус",$$$$,False
"4,3",471,"Французская, Американская",$$ - $$$,False
"4,5",316,"Американская, Кафе",$,False
"4,9",200,"Итальянская, Пицца",$$ - $$$,False
"4,1",4984,"Американская, Барбекю",$$ - $$$,False
N/A,0,"Азиатская, Тайская",,True
"4,2",888,"Американская, Бар",$$ - $$$,False
"4,4",823,Итальянская,$$ - $$$,False
"4,2",2663,"Американская, Бар",$$ - $$$,False
"4,1",2053,"Бар, Кубинская",$$ - $$$,False
"4,3",399,"Американская, Бар",$$ - $$$,False
"4,6",643,"Итальянская, Стейк-хаус",$$$$,False
"4,6",3692,Французская,$$$$,False
"4,5",636,"Японская, Азиатская",$$ - $$$,False
"4,3",1250,Гастроном,$$ - $$$,False
"4,2",208,Американская,$$ - $$$,False
"4,7",175,"Французская, Американская",$$ - $$$,False
"4,4",2707,"Мексиканская, Американская",$$ - $$$,False
"4,2",6299,"Итальянская, Пицца",$$ - $$$,False
"4,3",981,"Французская, Американская",$$ - $$$,False
"4,4",703,"Американская, Современная",$$$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
N/A,0,"Азиатская, Тайская",,True
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,8",944,Тайская,$$ - $$$,False
"4,3",944,"Американская, Бар",$$ - $$$,False
"4,8",444,"Итальянская, Пицца",$$ - $$$,False
"4,4",420,"Ирландская, Европейская",$$ - $$$,False
"4,2",1901,"Итальянская, Американская",$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,7",103,Итальянская,$$ - $$$,False
"4,2",974,"Американская, Гастроном",$$ - $$$,False
"4,3",451,Итальянская,$$ - $$$,False
"4,6",270,"Средиземноморская, Испанская",$$ - $$$,False
"4,9",111,"Американская, Кафе",$$ - $$$,False
"4,3",867,"Итальянская, Пицца",$,False
"4,6",84,"Итальянская, Кафе",$,False
"4,5",664,"Азиатская, Корейская",$$$$,False
"4,3",1466,"Итальянская, Американская",$$ - $$$,False
"4,3",2186,Мексиканская,$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,3",1258,"Ливанская, Средиземноморская",$$ - $$$,False
"4,6",1018,"Американская, Морепродукты",$$ - $$$,False
"4,2",1269,"Бары и клубы, Американская",$$ - $$$,False
"4,3",1165,Стейк-хаус,$$ - $$$,False
"4,5",779,"Стейк-хаус, Морепродукты",$$$$,False
"4,3",767,"Мексиканская, Карибская",$,False
"4,5",1244,"Итальянская, Пицца",$$ - $$$,False
"4,3",1751,"Американская, Бар",$$ - $$$,False
"4,1",884,Американская,$$ - $$$,False
"4,1",854,Итальянская,$$ - $$$,False
"4,4",554,"Американская, Морепродукты",$$ - $$$,False
"4,9",136,Французская,$$ - $$$,False
"4,4",3512,"Стейк-хаус, Морепродукты",$$$$,False
"4,5",443,"Японская, Суши",$$ - $$$,False
"4,0",2170,"Итальянская, Американская",$$ - $$$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"4,9",107,"Итальянская, Кафе",$$ - $$$,False
"4,5",1082,Суши,$$ - $$$,False
"4,4",1889,Американская,$$ - $$$,False
"4,5",976,"Итальянская, Пицца",$$ - $$$,False
"4,5",587,Американская,$$ - $$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,7",50,"Китайская, Азиатская",$$$$,False
"4,1",624,"Американская, Стейк-хаус",$$$$,False
"4,6",474,"Итальянская, Пицца",$$ - $$$,False
"4,4",1847,"Итальянская, Пицца",$$ - $$$,False
"4,4",675,"Американская, Юговосточная",$$ - $$$,False
"4,0",4519,Итальянская,$$ - $$$,False
"4,3",1082,"Американская, Стейк-хаус",$$$$,False
"4,3",1997,"Итальянская, Современная",$$ - $$$,False
"4,4",2420,"Итальянская, Бар",$$$$,False
"4,4",1006,"Европейская, Французская",$$ - $$$,False
"5,0",27,"Японская, Суши",$$ - $$$,True
"4,3",123,"Французская, Американская",$$ - $$$,False
"4,1",977,Итальянская,$$ - $$$,False
"4,3",1839,"Американская, Кафе",$,False
"4,4",245,"Американская, Бар",$$ - $$$,False
"4,2",544,Французская,$$ - $$$,False
"4,2",1019,"Итальянская, Пицца",$$ - $$$,False
"4,3",1604,"Японская, Суши",$$$$,False
"4,6",560,Пицца,$$ - $$$,False
"4,4",142,Американская,$$ - $$$,False
"4,6",464,Итальянская,$$$$,False
"4,5",551,"Американская, Современная",$$$$,False
"4,8",129,"Итальянская, Французская",$$$$,False
"4,4",2035,Итальянская,$$$$,False
"3,9",5139,"Бар, Морепродукты",$$ - $$$,False
"4,5",249,"Азиатская, Тайская",$$ - $$$,False
N/A,0,"Азиатская, Тайская",,True
N/A,0,"Азиатская, Тайская",,True
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,3",1006,"Американская, Кафе",$,False
"4,0",3492,Стейк-хаус,$$$$,False
"4,2",1633,"Азиатская, Фьюжн",$$$$,False
"4,5",396,"Азиатская, Тайская",$$ - $$$,False
"4,3",1556,"Американская, Кафе",$$ - $$$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
"4,2",924,"Американская, Современная",$$ - $$$,False
"4,4",679,Американская,$$ - $$$,False
"4,4",581,Индийская,$$ - $$$,False
"4,3",2487,Стейк-хаус,$$$$,False
"4,4",1096,"Супы, Восточноевропейская",$$ - $$$,False
"4,2",496,Американская,$$ - $$$,False
"4,9",85,"Мексиканская, Бар",$$$$,False
"4,2",660,"Французская, Американская",$$ - $$$,False
"4,3",203,"Французская, Кафе",$$ - $$$,False
"4,0",619,"Французская, Кафе",$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,0",3521,Американская,$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,False
"4,5",467,"Французская, Европейская",$$ - $$$,False
"4,0",4673,Американская,$$ - $$$,False
"5,0",101,"Бар, Морепродукты",$$ - $$$,False
"4,4",116,"Итальянская, Пицца",$$ - $$$,False
"4,2",2009,Итальянская,$$ - $$$,False
"4,3",714,"Американская, Закусочная",$,False
"4,4",484,"Американская, Бар",$$ - $$$,False
"4,3",1959,"Японская, Суши",$$$$,False
"4,5",560,"Итальянская, Европейская",$$$$,False
"4,3",248,"Стейк-хаус, Международная",$$$$,False
"4,5",1358,Японская,$$ - $$$,False
"4,4",90,"Итальянская, Американская",$$$$,False
"4,8",75,"Итальянская, Американская",$$ - $$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"5,0",27,"Японская, Суши",$$ - $$$,True
"4,0",2301,"Американская, Закусочная",$$ - $$$,False
"4,0",4958,"Итальянская, Пицца",$$ - $$$,False
"4,2",1244,"Стейк-хаус, Бразильская",$$$$,False
"4,3",405,Американская,$$ - $$$,False
"4,4",681,Американская,$$$$,False
"4,5",130,"Бары и клубы, Ирландская",$,True
"4,2",1245,Американская,$$ - $$$,False
"4,3",1368,Ирландская,$$ - $$$,False
"4,3",2300,Американская,$$$$,False
"4,4",1399,"Американская, Стейк-хаус",$$$$,False
"4,5",418,Греческая,$$ - $$$,False
"4,5",1574,"Американская, Бар",$$ - $$$,False
"4,3",410,"Американская, Бар",$$ - $$$,False
"4,6",154,"Французская, Кафе",$$ - $$$,False
"4,4",590,"Марокканская, Средиземноморская",$$ - $$$,False
"4,4",665,Испанская,$$ - $$$,False
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"4,3",252,"Американская, Бар",$$ - $$$,False
"4,1",1233,"Итальянская, Американская",$$$$,False
"4,2",1547,Итальянская,$$ - $$$,False
"4,2",430,"Средиземноморская, Греческая",$$ - $$$,False
"4,4",767,"Американская, Морепродукты",$$ - $$$,False
"4,4",306,"Французская, Международная",$$ - $$$,False
"4,3",856,Американская,$$ - $$$,False
"4,2",1495,"Стейк-хаус, Морепродукты",$$$$,False
"4,1",664,"Французская, Кафе",$$ - $$$,False
"4,4",1132,Итальянская,$$ - $$$,False
"4,2",359,"Американская, Бар",$$ - $$$,False
"4,4",591,"Гастроном, Восточноевропейская",$$ - $$$,False
"4,2",857,"Японская, Морепродукты",$$$$,False
"4,2",1040,"Итальянская, Пицца",$$ - $$$,False
"4,4",574,Паб,$,False
N/A,0,"Азиатская, Тайская",,True
"4,5",130,"Бары и клубы, Ирландская",$,True
N/A,0,"Азиатская, Тайская",,True
"4,5",981,"Американская, Стейк-хаус",$$$$,False
"4,1",814,"Японская, Суши",$$ - $$$,False
"4,5",597,Индийская,$$$$,False
"4,5",230,"Ливанская, Средиземноморская",$$ - $$$,False
"4,3",261,"Американская, Бар",$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,3",1098,"Мексиканская, Латиноамериканская",$$ - $$$,False
"4,1",1274,Французская,$$ - $$$,False
"4,9",12,"Американская, Бар",$$ - $$$,False
"4,0",1099,"Американская, Бар",$,False
"4,1",3774,"Азиатская, Шанхайская",$$$$,False
"4,4",517,"Японская, Азиатская",$$ - $$$,False
"4,5",82,"Американская, Стейк-хаус",$$ - $$$,False
"4,7",19,"Японская, Азиатская",$$ - $$$,False
"4,3",695,"Американская, Бар",$$ - $$$,False
"3,8",684,"Американская, Закусочная",$,False
"4,5",27,"Японская, Азиатская",$$ - $$$,True
"4,1",522,"Американская, Современная",$$ - $$$,False
"4,4",1235,Французская,$$$$,False
"4,4",602,"Американская, Бар",$$ - $$$,False
"4,2",1485,"Итальянская, Морепродукты",$$ - $$$,False
"4,2",561,"Американская, Бар",$$ - $$$,False
"4,5",74,"Азиатская, Тайская",$$ - $$$,False
"4,3",778,"Бар, Современная",$$$$,False
"4,3",651,Американская,$$ - $$$,False
"4,2",126,Американская,$$ - $$$,False
"4,5",1020,Итальянская,$$ - $$$,False
"4,4",109,"Бары и клубы, Индийская",$$ - $$$,False
"5,0",27,"Японская, Суши",$$ - $$$,False
"4,4",1185,"Стейк-хаус, Морепродукты",$$$$,False
"4,2",1080,"Американская, Закусочная",$,False
"4,3",375,Испанская,$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,1",500,"Американская, Гастроном",$$ - $$$,False
"4,2",222,"Французская, Европейская",$$ - $$$,False
"4,3",370,"Китайская, Азиатская",$,False
"4,1",700,"Барбекю, Корейская",$$ - $$$,False
"4,3",1253,"Американская, Стейк-хаус",$$$$,False
N/A,0,"Азиатская, Тайская",,True
"4,4",668,"Американская, Кафе",$,False
"4,4",33,Стейк-хаус,$$ - $$$,False
"4,4",204,"Китайская, Латиноамериканская",$$ - $$$,False
"4,4",881,"Американская, Бар",$$ - $$$,False
"4,3",63,"Американская, Фастфуд",$$ - $$$,False
"4,6",57,"Американская, Стейк-хаус",$$$$,False
"4,6",104,"Японская, Азиатская",$$ - $$$,False
"4,2",527,"Американская, Европейская",$$ - $$$,False
"4,4",494,"Итальянская, Пицца",$,False
"4,3",1858,"Американская, Фастфуд",$,False
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"4,0",1649,Итальянская,$$ - $$$,False
"4,5",97,"Итальянская, Современная",$$ - $$$,False
"4,1",826,Французская,$$ - $$$,False
"3,7",551,"Китайская, Азиатская",$$ - $$$,False
"4,3",446,"Японская, Барбекю",$$ - $$$,False
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,False
"4,3",1536,"Стейк-хаус, Бразильская",$$$$,False
"4,4",718,"Американская, Современная",$$$$,False
"4,4",374,"Американская, Стейк-хаус",$$ - $$$,False
"4,4",503,"Японская, Азиатская",$$ - $$$,False
"4,4",497,"Стейк-хаус, Бразильская",$$ - $$$,False
"4,5",30,"Французская, Кафе",$$ - $$$,False
"4,1",505,"Американская, Бар",$$ - $$$,False
"3,9",396,"Американская, Закусочная",$,False
"4,5",58,"Итальянская, Бар",$$$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,5",130,"Бары и клубы, Ирландская",$,True
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,3",495,"Итальянская, Европейская",$$$$,False
"4,3",258,"Паб, Бар",$$ - $$$,False
"4,3",423,"Мексиканская, Латиноамериканская",$$ - $$$,False
"4,4",331,"Бары и клубы, Американская",$$ - $$$,False
"4,3",1245,"Американская, Стейк-хаус",$$$$,False
"4,1",97,"Бары и клубы, Стейк-хаус",$$ - $$$,True
"4,4",324,"Американская, Бар",$$ - $$$,False
"3,6",279,Индийская,$$ - $$$,False
"4,2",119,"Американская, Бар",$$ - $$$,False
"4,1",986,"Итальянская, Стейк-хаус",$$$$,False
"4,7",149,"Мексиканская, Латиноамериканская",$$ - $$$,False
"4,2",888,"Американская, Бар",$$ - $$$,False
"4,2",619,Современная,$$ - $$$,False
"4,6",35,"Американская, Закусочная",$$ - $$$,False
"4,2",874,"Американская, Ирландская",$$ - $$$,False
"3,8",1258,Итальянская,$$ - $$$,False
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,1",260,Американская,$$ - $$$,False
"3,9",903,"Бар, Бары с рестораном",$$ - $$$,False
"4,4",282,"Азиатская, Тайская",$$ - $$$,False
"4,2",725,Американская,$$ - $$$,False
"4,3",395,"Американская, Стейк-хаус",$$$$,False
"4,3",1095,"Итальянская, Французская",$$$$,False
"4,5",388,Американская,$$ - $$$,False
"4,6",526,"Американская, Бар",$$$$,False
"4,4",287,Американская,$$ - $$$,False
"4,3",1137,"Японская, Азиатская",$,False
"4,2",539,Итальянская,$$ - $$$,False
"4,7",36,Американская,$$ - $$$,False
"3,8",701,"Китайская, Азиатская",$$ - $$$,False
"4,4",558,Итальянская,$$ - $$$,False
"3,9",1100,"Американская, Стейк-хаус",$$$$,False
N/A,0,"Азиатская, Тайская",,True
"4,1",23628,"Десерты, Американская",$$ - $$$,True
N/A,0,"Азиатская, Тайская",,True
"4,1",503,Итальянская,$$ - $$$,False
"4,2",767,"Американская, Бар",$$ - $$$,False
"4,3",580,"Американская, Кафе",$,False
"4,2",776,"Французская, Кафе",$$ - $$$,False
"4,4",163,"Кафе, Австралийская",$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,2",334,"Азиатская, Корейская",$$ - $$$,False
"4,5",203,Американская,$,False
"4,2",2071,"Американская, Современная",$$ - $$$,False
